1911,1,12/16/1911,34,"Railway Companies (Accounts and Returns) Act, 1911 c. 34",An Act to amend the Law with respect to the Accounts and Returns of Railway Companies.,10,1005
1911,1,12/16/1911,35,"Local Authorities (Ireland) (Qualification of Women) Act, 1911 c. 35",An Act to enable Women to be elected and act as Members of County and Borough Councils in Ireland,2,202
1911,1,12/16/1911,36,"Pacific Cable Act, 1911 c. 36","An Act to extend the Pacific Cable Act, 1901",17,1707
1911,1,12/16/1911,37,"Conveyancing Act, 1911 c. 37","An Act to amend the Conveyancing and Law of Property Act, 1881",14,1499
1911,1,12/16/1911,38,"Money-lenders Act, 1911 c. 38","An Act to amend the Money-lenders Act, 1900.",15,1500
1911,1,12/16/1911,39,"Telegraph (Construction) Act, 1911 c. 39",An Act to facilitate the construction and maintenance of Telegraphic Lines,17,1706
1911,1,12/16/1911,40,"Lunacy Act, 1911 c. 40",An Act to provide for the appointment of two additional Commissioners in Lunacy and to transfer the power of making Vesting Orders from the Judge in Lunacy to the High Court,12,1204
1911,1,12/16/1911,41,"Merchant Shipping (Stevedores and Trimmers) Act, 1911 c. 41",An Act to enlarge the Remedies of Persons having claims for work done in connection with the stowing or discharging of ships' cargoes or the trimming of coal on board ships.,10,1007
1911,1,12/16/1911,42,"Merchant Shipping Act, 1911 c. 42","An Act to give jurisdiction under section seventy-six and Part VIII. of the Merchant Shipping Act, 1894, to certain British Courts in foreign countries",10,1007
1911,1,12/16/1911,43,"University of Wales (Medical Graduates) Act, 1911 c. 43",An Act to extend the provisions of the Medical Acts to the University of Wales and to Graduates in Medicine and Surgery thereof,6,601
1911,1,12/16/1911,44,"Military Manoeuvres Act, 1911 c. 44","An Act to amend the Military Manoeuvres Act, 1897",16,1600
1911,1,12/16/1911,45,"Public Roads (Ireland) Act, 1911 c. 45","An Act to amend the Law in Ireland with respect to the use of Locomotives on Public Roads, and with respect to extraordinary Traffic",10,1000
1911,1,12/16/1911,46,"Copyright Act, 1911 c. 46",An Act to amend and consolidate the Law relating to Copyright,15,1522
1911,1,12/16/1911,47,"Naval Discipline (Dominion Naval Forces) Act, 1911 c. 47",An Act to declare the effect of the Naval Discipline Acts when applied by the legislatures of self-governing Dominions to the Naval Forces raised by such Dominions,16,1608
1911,1,12/16/1911,48,"Finance Act, 1911 c. 48","An Act to grant certain duties of Customs and Inland Revenue, to alter other duties, and to amend the Law relating to Customs and Inland Revenue (including Excise) and the National Debt, and to make other provisions for the financial arrangements of the year",1,107
1911,1,12/16/1911,49,"Small Landholders (Scotland) Act, 1911 c.49","An Act to encourage the formation of Small Agricultural Holdings in Scotland, and to amend the Law relating to the Tenure of such Holdings (including Crofters' Holdings); to establish a Board of Agriculture for Scotland; and for other purposes connected therewith",4,400
1911,1,12/16/1911,50,"Coal Mines Act, 1911 c. 50",An Act to consolidate and amend the Law relating to Coal Mines and certain other mines,8,805
1911,1,12/16/1911,51,"Burgh Police (Scotland) Amendment Act, 1911 c.51",An Act to amend the Burgh Police (Scotland) Acts so as to provide for the further Regulation of Places for Public Refreshment in Scotland.,12,1209
1911,1,12/16/1911,52,"Rag Flock Act, 1911 c. 52",An Act to prohibit the sale and use for the purpose of the manufacture of certain articles of unclean Flock manufactured from Rags,15,1525
1911,1,12/16/1911,53,"House Letting and Rating (Scotland) Act, 1911 c.53",An Act to amend the Law as to the Letting and Rating of small Dwelling-houses in Scotland; and for other purposes relating thereto,14,1499
1911,1,12/16/1911,54,"Shops Act, 1911 c. 54","An Act to amend and extend the Shops Regulation Acts, 1892 to 1904.",15,1599
1911,1,12/16/1911,55,"National Insurance Act, 1911 c. 55","An Act to provide for Insurance against Loss of Health and for the Prevention and Cure of Sickness and for Insurance against Unemployment, and for purposes incidental thereto",3,301
1911,1,12/16/1911,56,"Telephone Transfer Amendment Act, 1911 c. 56","An Act to amend the Telephone Transfer Act, 1911, so as to authorise a payment to be made to the National Telephone Company, Limited, of a sum on account of the Telephone Purchase Money before the amount thereof is finally ascertained.",17,1706
1911,1,12/16/1911,57,"Maritime Conventions Act, 1911 c. 57",An Act to amend the Law relating to Merchant Shipping with a view to enabling certain Conventions to be carried into effect.,10,1007
1911,1,12/16/1911,58,"Resident Magistrates (Belfast) Act, 1911 c. 58","An Act to amend the Law with respect to the salaries, superannuation, appointment, and powers of Resident Magistrates for the city of Belfast",12,1204
1912,2,3/28/1912,1,"Consolidated Fund (No. 1) Act, 1912 c. 1","An Act to apply certain sums out of the Consolidated Fund to the service of the years ending on the thirty-first day of March one thousand nine hundred and eleven, one thousand nine hundred and twelve, and one thousand nine hundred and thirteen",1,105
1912,2,3/29/1912,2,"Coal Mines (Minimum Wage) Act, 1912 c. 2","An Act to provide a Minimum Wage in the case of Workmen employed underground in Coal Mines (including Mines of Stratified Ironstone), and for purposes incidental thereto",8,805
1912,2,3/29/1912,3,Shops Act 1912 c. 3,"An Act to consolidate the Shops Regulation Acts, 1892 to 1911",15,1599
1912,2,3/29/1912,4,"Metropolitan Police Act, 1912 c. 4","An Act to amend section twenty-three of the Metropolitan Police Act, 1829, with respect to the Limit imposed by that section as amended by subsequent enactments on the Amount to be provided annually for the purposes of the Metropolitan Police",12,1209
1912,2,4/30/1912,5,"Army (Annual) Act, 1912 c. 5","An Act to provide, during Twelve Months, for the Discipline and Regulation of the Army.",16,1608
1912,2,6/25/1912,6,"Government of India Act, 1912 c. 6","An Act to make such amendments in the Law relating to the Government of India as are consequential on the appointment of a separate Governor of Fort William in Bengal, and other administrative changes in the local government of India.",21,2105
1912,2,8/7/1912,7,"Appropriation Act, 1912 c. 7","An Act to apply a sum out of the Consolidated Fund to the service of the year ending on the thirty-first day of March one thousand nine hundred and thirteen, and to appropriate the Supplies granted in this Session of Parliament",1,105
1912,2,8/7/1912,8,Finance Act 1912 c. 8,"An Act to grant certain duties of Customs and Inland Revenue, to alter other duties, and to amend the Law relating to Customs and Inland Revenue (including Excise) and the National Debt, and to make other provisions for the financial arrangements of the year",1,107
1912,2,8/7/1912,9,"Isle of Man (Customs) Act, 1912 c. 9",An Act to amend the Law with respect to Customs in the Isle of Man,20,2009
1912,2,8/7/1912,10,"Seal Fisheries (North Pacific) Act, 1912 c. 10","An Act to make such provisions with respect to the prohibition of catching Seals and Sea Otters in certain parts of the Pacific Ocean, and for the enforcement of such prohibitions as are necessary to carry out a Convention between His Majesty the King and the United States of America, the Emperor of Japan, and the Emperor of All the Russias.",4,408
1912,2,8/7/1912,11,"Public Works Loans Act, 1912 c. 11","An Act to grant Money for the purpose of certain Local Loans out of the Local Loans Fund, and for other purposes relating to Local Loans",10,1010
1912,2,8/7/1912,12,"Elementary School Teachers (Superannuation) Act, 1912 c. 12","An Act to amend the Elementary School Teachers (Superannuation) Act, 1898, as originally enacted and as applied by any other Act",6,602
1912,2,12/13/1912,17,"Protection of Animals Act, (1911) Amendment Act 1912 c. 17","An Act to amend the Protection of Animals Act, 1911, in respect of its Imprisonment Penalty",4,406
1912,2,12/13/1912,18,"Expiring Laws Continuance Act, 1912 c. 18",An Act to continue various Expiring Laws.,20,2011
1912,2,12/13/1912,19,"Light Railways Act, 1912 c. 19","An Act to continue and amend the Light Railways Act, 1896",10,1005
1912,2,12/13/1912,20,Criminal Law Amendment Act 1912 c. 20,"An Act to amend the Criminal Law Amendment Act, 1885, the Vagrancy Act, 1898, and the Immoral Traffic (Scotland) Act, 1902",12,1210
1912,2,12/13/1912,13,"London Institution (Transfer) Act, 1912 c. 13","An Act to provide for the transfer to the Commissioners of Works of certain property of the London Institution for the purposes of a School of Oriental Studies, and for the dissolution of the Institution, and for purposes in connection therewith.",6,601
1912,2,12/13/1912,14,Protection of Animals (Scotland) Act 1912 c.14,An Act to consolidate and amend enactments relating to Animals and Knackers; and to make further provision with respect thereto,4,406
1912,2,12/13/1912,15,"Marriages in Japan (Validity) Act, 1912 c. 15",An Act to remove doubts as to the validity of certain Marriages solemnized in the Empire of Japan.,12,1208
1912,2,12/13/1912,16,Royal Scottish Museum (Extension) Act 1912 c.16,An Act to make provision for the Acquisition of Property for the Extension of the Royal Scottish Museum at Edinburgh.,21,2101
1913,3,2/14/1913,21,"Agricultural Holdings Act, 1913 c. 21","An Act to remove doubts as to the effect of subsection (2) of section forty-two of the Agricultural Holdings Act, 1908, and the enactments re-enacted in that subsection",4,400
1913,3,2/14/1913,22,"Aerial Navigation Act, 1913 c. 22","An Act to amend the Aerial Navigation Act, 1911",10,1003
1913,3,3/7/1913,23,Clerks of Session (Scotland) Regulation Act 1913 c.23,An Act to reduce the number of Principal Clerks of the Court of Session in Scotland,12,1204
